[ 2021-12-03 23:11:39,429 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:40,658 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:40,662 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:40,686 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:41,689 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:41,724 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:41,739 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:41,744 ] Disconnected from gameserver
[ 2021-12-03 23:11:42,886 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:42,887 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:42,937 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:43,935 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:43,942 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:43,991 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:43,995 ] Disconnected from gameserver
[ 2021-12-03 23:11:45,135 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:45,137 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:45,186 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:46,120 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:46,191 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:46,240 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:46,243 ] Disconnected from gameserver
[ 2021-12-03 23:11:47,381 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:47,385 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:47,439 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:48,367 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:48,444 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:48,493 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:48,496 ] Disconnected from gameserver
[ 2021-12-03 23:11:50,726 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:50,736 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:50,791 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:51,713 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:51,839 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:51,888 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:51,892 ] Disconnected from gameserver
[ 2021-12-03 23:11:56,309 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:11:56,310 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:56,336 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:57,289 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:11:57,338 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:11:57,394 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:11:57,398 ] Disconnected from gameserver
[ 2021-12-03 23:12:02,912 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:12:02,912 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:12:02,936 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:12:03,898 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:12:03,940 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:12:03,990 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:12:03,994 ] Disconnected from gameserver
[ 2021-12-03 23:12:09,507 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:12:09,509 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:12:09,536 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:12:10,494 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:12:10,542 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:12:10,592 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:12:10,596 ] Disconnected from gameserver
[ 2021-12-03 23:12:16,102 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:12:16,103 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:12:16,139 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:12:17,089 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:12:17,187 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:12:17,243 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:12:17,247 ] Disconnected from gameserver
[ 2021-12-03 23:12:22,754 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:12:22,755 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:12:22,786 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:12:23,740 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:12:23,790 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:12:23,839 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:12:23,844 ] Disconnected from gameserver
[ 2021-12-03 23:13:34,051 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:13:35,168 ] Request connection to gameserver  "tcp://106.69.247.36:801:7172"  (unprotected:  "tcp://106.69.247.36:801:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:13:35,186 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:13:35,240 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:13:36,146 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:13:36,245 ] Request connection to gameserver  "" "OTServBR-Global"
[ 2021-12-03 23:13:36,294 ] Connection to gameserver  "" "OTServBR-Global"  was disconnected ( "Host not found" )
[ 2021-12-03 23:13:36,298 ] Disconnected from gameserver
[ 2021-12-03 23:13:39,226 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:13:40,891 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "GOD" )
[ 2021-12-03 23:13:40,893 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-03 23:13:40,898 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-03 23:13:41,866 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-03 23:18:29,811 ] Asset loading complete
[ 2021-12-03 23:18:42,344 ] News query failed: "Unrecognized event news."
[ 2021-12-03 23:18:47,075 ] Request connection to gameserver  "tcp://34.95.194.195:7176"  (unprotected:  "tcp://34.95.194.195:7176" )  requested (Charakter "Akihiko Kayaba [BR proxy]" )
[ 2021-12-03 23:18:47,080 ] Request connection to gameserver  "tcp://34.95.194.195:7176" "Hoxera"
[ 2021-12-03 23:18:47,431 ] Connected to gameserver  "tcp://34.95.194.195:7176" "Hoxera"
[ 2021-12-03 23:18:48,464 ] News query failed: "Unrecognized event news."
[ 2021-12-03 23:19:05,150 ] Connection to gameserver  "tcp://34.95.194.195:7176" "Hoxera"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-03 23:19:05,190 ] Disconnected from gameserver
[ 2021-12-03 23:19:05,638 ] News query failed: "Unrecognized event news."
[ 2021-12-03 23:19:07,663 ] Request connection to gameserver  "tcp://195.201.126.112:7172"  (unprotected:  "tcp://195.201.126.112:7172" )  requested (Charakter "Akihiko Kayaba" )
[ 2021-12-03 23:19:07,664 ] Request connection to gameserver  "tcp://195.201.126.112:7172" "Hoxera"
[ 2021-12-03 23:19:08,023 ] Connected to gameserver  "tcp://195.201.126.112:7172" "Hoxera"
[ 2021-12-03 23:19:08,634 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("https://hoxera.com/login.php") ) due to too many retries.
[ 2021-12-03 23:20:32,999 ] Connection to gameserver  "tcp://195.201.126.112:7172" "Hoxera"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-03 23:20:33,039 ] Disconnected from gameserver
[ 2021-12-03 23:20:33,064 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("https://hoxera.com/login.php") ) due to too many retries.
[ 2021-12-04 03:18:59,256 ] Asset loading complete
[ 2021-12-04 03:19:14,896 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 03:19:16,504 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "GOD" )
[ 2021-12-04 03:19:16,509 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 03:19:16,514 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 03:19:17,565 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 03:20:31,310 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-04 03:20:31,348 ] Disconnected from gameserver
[ 2021-12-04 03:20:31,486 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 03:21:20,582 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 03:21:22,208 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "Test" )
[ 2021-12-04 03:21:22,210 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 03:21:22,215 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 03:21:23,185 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 03:22:26,858 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-04 03:22:26,897 ] Disconnected from gameserver
[ 2021-12-04 03:22:26,924 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 03:22:58,516 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 03:22:59,152 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "Test" )
[ 2021-12-04 03:22:59,155 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 03:22:59,160 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 03:23:00,135 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 11:52:59,387 ] Attribute Qt::AA_UseOpenGLES must be set before QCoreApplication is created.
[ 2021-12-04 11:53:00,172 ] Asset loading complete
[ 2021-12-04 11:56:09,379 ] Attribute Qt::AA_UseOpenGLES must be set before QCoreApplication is created.
[ 2021-12-04 11:56:10,029 ] Asset loading complete
[ 2021-12-04 11:56:20,074 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 11:56:25,313 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "GOD" )
[ 2021-12-04 11:56:25,321 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 11:56:25,328 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 11:56:26,372 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 11:57:18,432 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-04 11:57:18,472 ] Disconnected from gameserver
[ 2021-12-04 11:57:18,591 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 11:57:33,760 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 11:57:45,500 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "GM Mista" )
[ 2021-12-04 11:57:45,502 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 11:57:45,509 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 11:57:46,476 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 11:59:45,832 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
[ 2021-12-04 11:59:45,872 ] Disconnected from gameserver
[ 2021-12-04 11:59:45,899 ] Didn't send news query with params ( 0 0 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:04:37,983 ] Attribute Qt::AA_UseOpenGLES must be set before QCoreApplication is created.
[ 2021-12-04 12:04:38,849 ] Asset loading complete
[ 2021-12-04 12:06:50,339 ] Attribute Qt::AA_UseOpenGLES must be set before QCoreApplication is created.
[ 2021-12-04 12:06:50,986 ] Asset loading complete
[ 2021-12-04 12:07:01,788 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:07:02,334 ] Request connection to gameserver  "tcp://106.69.247.36:7172"  (unprotected:  "tcp://106.69.247.36:7172" )  requested (Charakter "Cleric" )
[ 2021-12-04 12:07:02,341 ] Request connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:07:02,355 ] Connected to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"
[ 2021-12-04 12:07:03,411 ] Didn't send news query with params ( 0 2 ) (URL: QUrl("http://106.69.247.36:801/login.php") ) due to too many retries.
[ 2021-12-04 12:07:59,193 ] Connection to gameserver  "tcp://106.69.247.36:7172" "OTServBR-Global"  was disconnected ( "The remote host closed the connection" )
